MODIND,ManagedElementType,SubNetwork,ManagedElement,NE_Name,ldn,moId,userLabel,mbsSwitch,masterOperatorId,cityLabel,cellLocalId,nrCarrierGroupId,duMeMoId,nrPhysicalCellDUId,operatorPriority,plmnIdList,pciReuseLayers,pciReuseDistance,pciSectionID,sonModifyPciSwitch,longitude,latitude,azimuth,altitude,testState,reserved61,reserved62,reserved63,reserved64,reserved65,reserved66,reserved67,reserved68,reserved69,reserved70,reserved71,reserved72,reserved73,reserved74,reserved75,reserved76,reserved77,reserved78,reserved79,reserved80,reserved98,reserved99,reserved100
,ITBBU,321362,13582493,SQ5GZTB宿城_宿迁三树支局BBU1,GNBCUCPFunction=460-01_13582493，NRCellCU=2,2,SQ5GZTB宿城_宿迁高铁站南_AA_2,关闭[0],46011-13582493-2,SQ,2,2,13582493,2,0,460-01,4,3000,0,打开[1],118.27577,33.87296,60,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321362,13582367,SQ5GZTB宿城_宿迁标准厂房接入网BBU6,GNBCUCPFunction=460-11_13582367，NRCellCU=1,1,SQ5GZTB宿城_宿迁金桂小区_AA_1,关闭[0],46011-13582367-1,SQ,1,6,13582367,1,0,460-11,4,3000,0,打开[1],118.22539,33.91133,0,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321362,13582467,SQ5GZTB宿城_宿迁通城山庄接入网BBU2,GNBCUCPFunction=460-01_13582467，NRCellCU=4,4,SQ5GZTB宿城_宿迁华辉新城7栋_AA_4,关闭[0],46011-13582467-4,SQ,4,6,13582467,4,0,460-01,4,3000,0,打开[1],118.2671,33.92756,30,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321362,13582494,SQ5GZTB宿城_宿迁义乌商贸城接入网BBU1,GNBCUCPFunction=460-11_13582494，NRCellCU=3,3,SQ5GZTB宿城_宿迁义乌商贸城_AA_3,关闭[0],46011-13582494-3,SQ,3,3,13582494,3,0,460-11,4,3000,0,打开[1],118.275,33.9344,240,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321362,13582344,SQ5GZTB宿城_宿迁标准厂房接入网BBU3,GNBCUCPFunction=460-01_13582344，NRCellCU=3,3,SQ5GZTB宿城_宿迁大洋木业_AA_3,关闭[0],46011-13582344-3,SQ,3,3,13582344,3,0,460-01,4,3000,0,打开[1],118.24279,33.91828,240,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321352,13583092,SQ5GZTB宿城_宿迁学院电信营业厅BBU10,GNBCUCPFunction=460-01_13583092，NRCellCU=1025,1025,SQ5GZTB宿城_宿迁学院20栋宿舍楼3F清扫间2（室分）_AA_1025,关闭[0],46011-13583092-1025,SQ,1025,2,13583092,2,0,460-01,4,3000,0,打开[1],118.2916,33.93601,0,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321362,13582472,SQ5GZTB宿城_宿迁项王三期机房BBU2,GNBCUCPFunction=460-01_13582472，NRCellCU=5,5,SQ5GZTB宿城_宿迁府前居委会_AA_5,关闭[0],46011-13582472-5,SQ,5,5,13582472,5,0,460-01,4,3000,0,打开[1],118.253,33.9549,180,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321362,13582360,SQ5GZTB宿城_宿迁项王三期机房BBU4,GNBCUCPFunction=460-11_13582360，NRCellCU=3,3,SQ5GZTB宿城_宿迁海天翡翠城北75栋_AA_3,关闭[0],46011-13582360-3,SQ,3,3,13582360,3,0,460-11,4,3000,0,打开[1],118.2569,33.95504,250,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321362,13582495,SQ5GZTB宿城_宿迁康庭名苑接入网BBU1,GNBCUCPFunction=460-11_13582495，NRCellCU=5,5,SQ5GZTB宿城_宿迁兴邦大厦_AA_5,关闭[0],46011-13582495-5,SQ,5,5,13582495,5,0,460-11,4,3000,0,打开[1],118.239,33.95687,140,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321362,13582485,SQ5GZTB宿城_宿迁金谷花园接入网BBU1,GNBCUCPFunction=460-11_13582485，NRCellCU=3,3,SQ5GZTB宿城_宿迁宿城区人民医院_AA_3,关闭[0],46011-13582485-3,SQ,3,3,13582485,3,0,460-11,4,3000,0,打开[1],118.29441,33.96947,250,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
