物理站址名,归属,CI,子网ID,5G基站号-网元号,eNodeBID,SectorID-Eutran小区ID,CELLName,CellID-小区号,PCI,TAC,band,UplinkCenterCarrierFrequency,DownlinkCenterCarrierFrequency,下行信道带宽,网元名,经度,纬度,跟序列,方位角,业务IP地址,场景,站型,覆盖类型
东海彭码头宏站型,东海县,540681_11,320711,14611209,540681,11,LYG_DH_ZX_彭码头_FL9_A_1,11,435,20979,8,909.5,954.5,10M,LYG_DH_ZX_老庄_BBU2_FL,118.915241,34.463599,468,0,,农村,宏站,室外
东海彭码头宏站型,东海县,540681_21,320711,14611209,540681,21,LYG_DH_ZX_彭码头_FL9_B_1,21,436,20979,8,909.5,954.5,10M,LYG_DH_ZX_老庄_BBU2_FL,118.915241,34.463599,471,120,,农村,宏站,室外
东海彭码头宏站型,东海县,540681_31,320711,14611209,540681,31,LYG_DH_ZX_彭码头_FL9_C_1,31,437,20979,8,909.5,954.5,10M,LYG_DH_ZX_老庄_BBU2_FL,118.915241,34.463599,474,240,,农村,宏站,室外
东海县平明安营,东海县,540677_11,320711,14611205,540677,11,LYG_DH_ZX_平明安营_FL9_A_1,11,313,20979,8,909.5,954.5,10M,LYG_DH_ZX_安营_BBU3_FL,118.911389,34.515269,102,0,,农村,宏站,室外
东海县平明安营,东海县,540677_21,320711,14611205,540677,21,LYG_DH_ZX_平明安营_FL9_B_1,21,314,20979,8,909.5,954.5,10M,LYG_DH_ZX_安营_BBU3_FL,118.911389,34.515269,105,120,,农村,宏站,室外
东海县平明安营,东海县,540677_31,320711,14611205,540677,31,LYG_DH_ZX_平明安营_FL9_C_1,31,312,20979,8,909.5,954.5,10M,LYG_DH_ZX_安营_BBU3_FL,118.911389,34.515269,99,240,,农村,宏站,室外
东海平明崔庄机房-落地三管塔,东海县,540681_41,320711,14611209,540681,41,LYG_DH_ZX_平明崔庄_FL9_A_1,41,384,20979,8,909.5,954.5,10M,LYG_DH_ZX_老庄_BBU2_FL,118.931351,34.443991,315,0,,农村,宏站,室外
东海平明崔庄机房-落地三管塔,东海县,540681_51,320711,14611209,540681,51,LYG_DH_ZX_平明崔庄_FL9_B_1,51,385,20979,8,909.5,954.5,10M,LYG_DH_ZX_老庄_BBU2_FL,118.931351,34.443991,318,120,,农村,宏站,室外
东海平明崔庄机房-落地三管塔,东海县,540681_61,320711,14611209,540681,61,LYG_DH_ZX_平明崔庄_FL9_C_1,61,386,20979,8,909.5,954.5,10M,LYG_DH_ZX_老庄_BBU2_FL,118.931351,34.443991,321,240,,农村,宏站,室外
东海石榴埝河西机房-三管塔,东海县,540684_11,320711,14611212,540684,11,LYG_DH_ZX_石榴埝河西_FL9_A_1,11,457,20979,8,909.5,954.5,10M,LYG_DH_ZX_石榴埝河_BBU3_FL,118.776817,34.595642,534,60,,农村,宏站,室外
东海石榴埝河西机房-三管塔,东海县,540684_21,320711,14611212,540684,21,LYG_DH_ZX_石榴埝河西_FL9_B_1,21,458,20979,8,909.5,954.5,10M,LYG_DH_ZX_石榴埝河_BBU3_FL,118.776817,34.595642,537,230,,农村,宏站,室外
东海石榴埝河西机房-三管塔,东海县,540684_31,320711,14611212,540684,31,LYG_DH_ZX_石榴埝河西_FL9_C_1,31,456,20979,8,909.5,954.5,10M,LYG_DH_ZX_石榴埝河_BBU3_FL,118.776817,34.595642,531,300,,农村,宏站,室外
东海县温泉羽阳村,东海县,540675_11,320711,14611203,540675,11,LYG_DH_ZX_温泉羽阳村_FL9_A_1,11,49,20979,8,909.5,954.5,10M,LYG_DH_ZX_温泉朱沟_BBU5_FL,118.667601,34.641152,147,80,,农村,宏站,室外
东海县温泉羽阳村,东海县,540675_21,320711,14611203,540675,21,LYG_DH_ZX_温泉羽阳村_FL9_B_1,21,50,20979,8,909.5,954.5,10M,LYG_DH_ZX_温泉朱沟_BBU5_FL,118.667601,34.641152,150,170,,农村,宏站,室外
东海县温泉羽阳村,东海县,540675_31,320711,14611203,540675,31,LYG_DH_ZX_温泉羽阳村_FL9_C_1,31,48,20979,8,909.5,954.5,10M,LYG_DH_ZX_温泉朱沟_BBU5_FL,118.667601,34.641152,144,340,,农村,宏站,室外
东海_小街_宏站型,东海县,540689_11,320711,14611217,540689,11,LYG_DH_ZX_小街_FL9_A_1,11,450,20979,8,909.5,954.5,10M,LYG_DH_ZX_渔林_BBU5_FL,119.015001,34.427001,513,0,,农村,宏站,室外
东海_小街_宏站型,东海县,540689_21,320711,14611217,540689,21,LYG_DH_ZX_小街_FL9_B_1,21,451,20979,8,909.5,954.5,10M,LYG_DH_ZX_渔林_BBU5_FL,119.015001,34.427001,516,120,,农村,宏站,室外
东海_小街_宏站型,东海县,540689_31,320711,14611217,540689,31,LYG_DH_ZX_小街_FL9_C_1,31,452,20979,8,909.5,954.5,10M,LYG_DH_ZX_渔林_BBU5_FL,119.015001,34.427001,519,240,,农村,宏站,室外
东海_渔淋_宏站型_只交铁塔,东海县,540689_41,320711,14611217,540689,41,LYG_DH_ZX_鱼淋_FL9_A_1,41,447,20979,8,909.5,954.5,10M,LYG_DH_ZX_渔林_BBU5_FL,118.96615,34.41529,504,0,,农村,宏站,室外
东海_渔淋_宏站型_只交铁塔,东海县,540689_51,320711,14611217,540689,51,LYG_DH_ZX_鱼淋_FL9_B_1,51,448,20979,8,909.5,954.5,10M,LYG_DH_ZX_渔林_BBU5_FL,118.96615,34.41529,507,120,,农村,宏站,室外
东海_渔淋_宏站型_只交铁塔,东海县,540689_61,320711,14611217,540689,61,LYG_DH_ZX_鱼淋_FL9_C_1,61,449,20979,8,909.5,954.5,10M,LYG_DH_ZX_渔林_BBU5_FL,118.96615,34.41529,510,240,,农村,宏站,室外
陈老庄,灌南县,540715_11,320713,14611713,540715,11,LYG_GN_ZX_陈老庄_FL9_A_1,11,376,20979,8,909.5,954.5,10M,LYG_GN_ZX_北陈集_BBU4_FL,119.355804,34.178642,291,120,,农村,宏站,室外
陈老庄,灌南县,540715_21,320713,14611713,540715,21,LYG_GN_ZX_陈老庄_FL9_B_1,21,377,20979,8,909.5,954.5,10M,LYG_GN_ZX_北陈集_BBU4_FL,119.355804,34.178642,294,250,,农村,宏站,室外
陈老庄,灌南县,540715_31,320713,14611713,540715,31,LYG_GN_ZX_陈老庄_FL9_C_1,31,375,20979,8,909.5,954.5,10M,LYG_GN_ZX_北陈集_BBU4_FL,119.355804,34.178642,288,350,,农村,宏站,室外
灌南花园北洋机房-三管塔,灌南县,540717_11,320713,14611715,540717,11,LYG_GN_ZX_花园北洋_FL9_A_1,11,495,20979,8,909.5,954.5,10M,LYG_GN_ZX_花园_BBU1_FL,119.41995,34.073356,648,0,,农村,宏站,室外
灌南花园北洋机房-三管塔,灌南县,540717_21,320713,14611715,540717,21,LYG_GN_ZX_花园北洋_FL9_B_1,21,496,20979,8,909.5,954.5,10M,LYG_GN_ZX_花园_BBU1_FL,119.41995,34.073356,651,90,,农村,宏站,室外
灌南花园北洋机房-三管塔,灌南县,540717_31,320713,14611715,540717,31,LYG_GN_ZX_花园北洋_FL9_C_1,31,497,20979,8,909.5,954.5,10M,LYG_GN_ZX_花园_BBU1_FL,119.41995,34.073356,654,260,,农村,宏站,室外
灌南三口成湾村机房-落地三管塔,灌南县,540719_41,320713,14611717,540719,41,LYG_GN_ZX_三口成湾村_FL9_A_1,41,442,20979,8,909.5,954.5,10M,LYG_GN_ZX_三口三合四组_BBU8_FL,119.525328,34.225661,489,130,,农村,宏站,室外
灌南三口成湾村机房-落地三管塔,灌南县,540719_51,320713,14611717,540719,51,LYG_GN_ZX_三口成湾村_FL9_B_1,51,443,20979,8,909.5,954.5,10M,LYG_GN_ZX_三口三合四组_BBU8_FL,119.525328,34.225661,492,240,,农村,宏站,室外
灌南三口成湾村机房-落地三管塔,灌南县,540719_61,320713,14611717,540719,61,LYG_GN_ZX_三口成湾村_FL9_C_1,61,441,20979,8,909.5,954.5,10M,LYG_GN_ZX_三口三合四组_BBU8_FL,119.525328,34.225661,486,340,,农村,宏站,室外
灌南三口大北租地机房-三管塔,灌南县,540718_11,320713,14611716,540718,11,LYG_GN_ZX_三口大北租地_FL9_A_1,11,342,20979,8,909.5,954.5,10M,LYG_GN_ZX_灌南三口_BBU4_FL,119.466931,34.180341,189,0,,农村,宏站,室外
灌南三口大北租地机房-三管塔,灌南县,540718_21,320713,14611716,540718,21,LYG_GN_ZX_三口大北租地_FL9_B_1,21,343,20979,8,909.5,954.5,10M,LYG_GN_ZX_灌南三口_BBU4_FL,119.466931,34.180341,192,100,,农村,宏站,室外
灌南三口大北租地机房-三管塔,灌南县,540718_31,320713,14611716,540718,31,LYG_GN_ZX_三口大北租地_FL9_C_1,31,344,20979,8,909.5,954.5,10M,LYG_GN_ZX_灌南三口_BBU4_FL,119.466931,34.180341,195,245,,农村,宏站,室外
灌南县三口镇洪圩村西,灌南县,540719_11,320713,14611717,540719,11,LYG_GN_ZX_三口镇洪圩村西_FL9_A_1,11,391,20979,8,909.5,954.5,10M,LYG_GN_ZX_三口三合四组_BBU8_FL,119.495582,34.198724,336,0,,农村,宏站,室外
灌南县三口镇洪圩村西,灌南县,540719_21,320713,14611717,540719,21,LYG_GN_ZX_三口镇洪圩村西_FL9_B_1,21,392,20979,8,909.5,954.5,10M,LYG_GN_ZX_三口三合四组_BBU8_FL,119.495582,34.198724,339,120,,农村,宏站,室外
